Model,Dataset,MSE,RMSE,MAE,R²,EVS
MLP,Train,5.2786794303670064e-05,0.00726545210593739,0.0037287964147360787,0.6873167365486799,0.6878993886591076
MLP,Test,8.544852015209167e-05,0.009243836873944264,0.0037399896966934403,0.6024585965552158,0.6047468481431222
LSTM,Train,3.8258813249440445e-05,0.006185370906375821,0.0032337372757097445,0.7733841965375887,0.7745633905804744
LSTM,Test,5.410463327005896e-05,0.007355585175229702,0.0031296501419876255,0.7483126291764426,0.7485349191454047
RF,Train,3.455016901393744e-05,0.00587793918086411,0.0032446619778705474,0.7953416239310912,0.7953416671915107
RF,Test,8.35248164521161e-05,0.009139191236215385,0.003759766261945692,0.6114084515947065,0.6116648604867585
